Tomates,Cebola,Salchicha,Batatas,ketchup,Mostarda,Maionese,alface (lechuga),Pão,
"0.3
",,1,,,,,"0.3
",1,13491.jpg
,,1,,,1,,,1,13492.jpg
,,1,,1,,,,1,13493.jpg
,,1,,1,,,,1,13494.jpg
,,1,,1,1,,,1,13495.jpg
,1,1,,,,,,1,13496.jpg
,,1,,1,1,1,,1,13497.jpg
,,1,,1,,,1,1,13498.jpg
,,1,,1,1,,1,1,13499.jpg
,,1,,1,,,1,1,13500.jpg
,1,1,,1,,,,1,13501.jpg
,1,1,1,,,,,1,13502.jpg
,,1,,,1,,,1,13503.jpg
,,1,,1,,,,1,13504.jpg
,,1,,1,,,1,1,13505.jpg
,1,1,,1,,,,1,13506.jpg
,1,1,,1,,,1,1,13507.jpg
,1,1,,1,,1,,1,13508.jpg
,,1,,1,,,,1,13509.jpg
,1,1,,1,,,,1,13510.jpg
,,1,,1,1,,,1,13511.jpg
,,1,,1,1,,1,1,13513.jpg
,,1,,,,,,1,13514.jpg
,,1,,1,,,1,1,13515.jpg
,,1,,1,,,1,1,13516.jpg
,,1,,1,1,,1,1,13517.jpg
,1,1,,1,1,,,1,13518.jpg
,,1,,1,1,,1,1,13519.jpg
,,1,1,1,1,,1,1,13520.jpg
,,1,,1,1,,,1,13521.jpg
,,1,,1,1,,1,1,13522.jpg
,,1,,1,1,,,1,13523.jpg
,,1,,1,1,,,1,13524.jpg
,,1,1,1,1,,,1,13525.jpg
1,,1,,1,1,,1,1,13526.jpg
1,,1,,1,1,,1,1,13527.jpg
,1,1,,,1,,,1,13528.jpg
,,1,,1,1,,1,1,13529.jpg
,,1,,1,,,,1,13530.jpg
,,1,,1,,,1,1,13531.jpg
,,1,1,1,,,1,1,13532.jpg
,1,1,,1,,,,1,13533.jpg
,1,1,,,,,1,1,13534.jpg
,,1,,1,1,,,1,13535.jpg
,,1,,1,1,,,1,13536.jpg
,,1,,1,1,,1,1,13537.jpg
,,1,,1,1,,,1,13538.jpg
,1,1,,1,,,1,1,13539.jpg
,,1,,1,,,1,1,13540.jpg
,,1,,1,1,,,1,13541.jpg
,,1,,1,,,1,1,13542.jpg
,,1,,1,1,,,1,13543.jpg
,,1,,1,1,,,1,13544.jpg
,,1,,1,,,1,1,13545.jpg
,,1,,1,,,1,1,13546.jpg
,,1,,1,,,1,1,13547.jpg
,,1,,1,1,,1,1,13548.jpg
,1,1,,1,1,,,1,13549.jpg
,1,1,,,,,,1,13550.jpg
,,1,,1,,,,1,13551.jpg
,1,1,,1,,,,1,13552.jpg
,,1,,1,1,,1,1,13553.jpg
,1,1,,1,,,,1,13554.jpg
,1,1,,1,1,,1,1,13555.jpg
,,1,,1,1,,,1,13556.jpg
,,1,,1,,,1,1,13557.jpg
,,1,,1,1,,,1,13558.jpg
,1,1,,1,1,,,1,13559.jpg
,,1,,1,1,,,1,13560.jpg
,,1,,1,1,1,1,1,13561.jpg
,,1,,,,1,,1,13562.jpg
,,1,,,,,1,1,13563.jpg
1,,1,,1,1,1,1,1,13564.jpg
,,1,,1,1,,,1,13565.jpg
,,1,,1,1,,1,1,13566.jpg
,1,1,1,,,,,1,13567.jpg
,,1,,1,1,,,1,13568.jpg
,1,1,,1,,,,1,13647.jpg
1,,1,,,,,1,1,13715.jpg
1,,1,,1,,,1,1,13717.jpg
,,1,,,,,1,1,13725.jpg
,,1,,1,1,,,1,13959.jpg
1,1,1,,1,,,1,1,14028.jpg
1,1,1,,1,,,1,1,14066.jpg
,,1,,1,,,1,1,14333.jpg
,1,1,,1,1,,1,1,14950.jpg
,,1,,1,1,,1,1,14951.jpg
,1,1,,1,1,,1,1,14952.jpg
,,1,,1,,,1,1,14953.jpg
1,1,1,1,1,,,1,1,14954.jpg
,,1,,1,1,1,1,1,14955.jpg
,1,1,,1,,,,1,14956.jpg
,1,1,,1,1,,,1,14957.jpg
,,1,,1,1,,,1,14958.jpg
,,1,,1,1,,,1,14959.jpg
,1,1,,1,1,,,1,14960.jpg
,1,1,,1,1,,,1,14961.jpg
,1,1,,1,1,,,1,14962.jpg
,1,1,,1,1,,,1,14963.jpg
,,1,,1,1,,,1,14964.jpg
,,1,,1,1,,,1,14968.jpg
,1,1,,1,,,,1,15647.jpg
,0,1,,0,,,,0,s1.jpeg
,0,1,,0,,,,0,s2.jpeg
,0,1,,0,,,,0,s3.jpeg
,0,1,,0,,,,0,s4.jpeg
,0,1,,0,,,,0,s5.jpeg
,0,1,,0,,,,0,s6.jpeg
,0,1,,0,,,,0,s7.jpeg
